Window,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_LFn,HRV_HFn,HRV_LFHF,HRV_VLF,HRV_LF,HRV_HF,HRV_ApEn,HRV_SampEn,HRV_DFA_alpha1,HRV_DFA_alpha2,HRV_SD1,HRV_SD2,HRV_SD1SD2
Window_1,1150.4657451923076,74.90770072141089,98.24059007942182,0.09384457807334345,0.8340154752215729,0.11252138702631599,0.0011289206273664679,0.0025234009511855156,0.02242596734605977,0.8652906628016925,1.5363783415645955,0.445872956270966,0.4741193616912242,69.60107912298913,79.90688872757102,0.8710272697549545
Window_2,1132.516571969697,78.72220236345638,100.35887169168403,0.12084166893957121,0.8057864747926811,0.14996735825165383,0.0014227889682167463,0.003195951085860956,0.021310978089631793,0.9672401634722156,1.504077396776274,0.3953855907507431,0.5111689419127715,71.09932616396456,85.78108518504844,0.8288461962283161
Window_3,1116.3974719101125,76.34811081648267,99.47957159669059,0.0931871259584881,0.8514025473461924,0.10945131213073163,0.00052862700956498,0.00195615933644,0.017872415582405352,0.9698685359242019,1.8022527449438936,0.45522868330162714,0.45034054099740223,70.47379008922839,81.71228537490238,0.8624625999124746
Window_4,1106.3802083333333,73.87068187769192,97.43178198707449,0.07371073425251605,0.8781346140142093,0.08394013067718945,0.0002640148385873043,0.0010595359307075925,0.012622519433312237,0.9598237660498361,1.8925641683500207,0.3697734450467504,0.28211611604425685,69.02308813988614,78.66194929169689,0.8774647559766464
Window_5,1086.6477272727273,75.17041861304232,95.15647519914502,0.12554258012306296,0.8028651144381505,0.15636820913674693,0.0008857880841704743,0.002117312365678153,0.01354055518936412,0.9269930955868038,1.7104853426285689,0.41006616179904076,0.4525398610024708,67.40737828455417,82.08778918055496,0.821162062682542
Window_6,1069.6986607142858,78.36582426003292,101.36252110165661,0.10283772788676061,0.8365616782045314,0.12292904464315871,0.0004750519234292484,0.002628660202339124,0.021383556749909348,1.0247865283394835,1.402993528877523,0.43034707280172413,0.3172683664385896,71.80203288793487,84.47018388130603,0.8500281352391524
Window_7,1065.5831473214287,85.50702960939941,110.14434363003738,0.14431855442250197,0.7909097791536348,0.18247157669100963,0.0009165961088824371,0.002880944205203512,0.015788454604532695,1.031037596997245,1.5529713007663293,0.45736718582667535,0.3538399305769705,78.02346025344343,92.58251754252437,0.8427450702839899
Window_8,1056.578511484099,80.45299974763965,100.50719936224722,0.17351352982011706,0.7808351348962894,0.22221532057873283,0.0007261104278923304,0.00496309563968135,0.022334624033822557,0.9979846597632083,1.4940558383152551,0.5142283443903093,0.32525686874542314,71.19563465662009,88.94055058877669,0.8004856523297056
Window_9,1039.0218098958333,76.72172070095272,94.43033126008955,0.18894070230618387,0.7618218265297484,0.248011668511582,0.0008317363350130825,0.005371560646074089,0.021658499692014454,0.9229486519978947,1.7578579175523736,0.5228534690005242,0.41502422335586586,66.88873544471029,85.58953635382501,0.7815059912019376
Window_10,1021.9659674657535,79.53601272299642,95.92893566186711,0.14734858745053198,0.7791781275269773,0.18910770495855628,0.0015152405157524782,0.003696673560622311,0.01954797960999237,1.016075765151399,1.4384801142904609,0.49098269755800134,0.4503810818252349,67.94825326672601,89.74113817714756,0.757158362897039
Window_11,1028.6324097938145,81.61143404751861,98.40178778852774,0.17619834113275482,0.7753862634601154,0.2272394410838285,0.0009120427249955772,0.0049659542649049615,0.021853399397655727,1.0085346643711182,1.5008977438588944,0.5130437496319449,0.3974682271174131,69.7006819078477,92.00567076234307,0.7575694120842759
Window_12,1006.5104166666666,96.87663894238064,98.42130641550665,0.2509105285481394,0.6215628003122711,0.40367687452029427,0.0044588682673756055,0.009575958106665337,0.023721839696774404,1.0066287820123847,1.791759469228055,0.6964191009898381,0.778234182003955,69.71220739019141,118.16669813161663,0.5899480013611318
Window_13,904.9164463746224,107.4132492578364,72.0469472395194,0.4075659764087915,0.3343773083299569,1.2188804869695689,0.009151162852325827,0.014876389173514082,0.012204961300595087,1.0856175731104738,1.3275084924717695,1.0630441550254304,0.8717318674724595,51.01667178247952,142.45874740861734,0.35811540330442015
Window_14,876.7984787390029,114.26045700310564,75.2334253345475,0.48585452583822863,0.3611428528170286,1.3453250481032908,0.002309218091627385,0.008049070299372173,0.005982992965692694,0.9105809440263597,1.0652411003037199,1.1639363186614597,0.6300984398512248,53.27532202073763,152.3655121848578,0.349654729976566
Window_15,978.0433006535948,122.84051867349655,100.72434535303844,0.3668125880971165,0.5531391445352731,0.6631470430560447,0.004660205692654186,0.024058999020543564,0.03628003664114998,1.0767933276250456,1.5416348090827379,1.0189867969284883,0.5890840285399865,71.33894487913537,158.4884720674458,0.45012071823606586
